Title	URL	Assignees	Status	Linked pull requests	Sub-issues progress
Document delete confirmation box doesn't automatically go away for the last document deleted.	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/52		Done		
Made sure that recovery keys aren't rotated before the user is ready to. Otherwise risk of loss	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/61		Done		
Incorrect password snack printed to screen	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/68		Done		
Code Review	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/97		Done		
AI Context Consideration to Minimize Hallucinations	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/34		Done		
Make sure all files have this at the top	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/90		Done		
Ability to pin panels from other tabs to overview.	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/76		Rejected		
If some web access is allowed, make clear list of which features wont work if not connected to the internet.	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/5		Rejected		
Maybe put out version without AI? DEFINITLY explain SLM	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/64		Rejected		
Help with superbill submission?	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/8		Rejected		
AI pulls out ICD codes?	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/6		Rejected		
AI pulls out CPT codes?	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/7		Rejected		
Chose not to add ability to add new text to flat forms since it is doable outside of app and adds a lot of bulk.	https://github.com/Lilian-Moon11/medical-record-management-assistant/issues/93		Rejected		
